transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost
11996,59,1349,2017-01-01,1.0,Approved,Solex,Standard,medium,large,1061.56,733.58
12422,78,2552,2017-01-01,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48
12485,85,2805,2017-01-01,1.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91
12544,36,3062,2017-01-01,0.0,Approved,Solex,Standard,low,medium,945.04,507.58
12782,71,1762,2017-01-01,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75
13368,18,1658,2017-01-01,1.0,Approved,Solex,Standard,medium,medium,575.27,431.45
13609,40,3073,2017-01-01,0.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9
13934,94,824,2017-01-01,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66
15138,3,1022,2017-01-01,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
15205,87,123,2017-01-01,0.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71
15565,46,2543,2017-01-01,1.0,Approved,Solex,Standard,low,medium,1289.85,74.51
15852,48,3455,2017-01-01,0.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52
16398,43,2160,2017-01-01,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49
16575,19,1745,2017-01-01,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21
16920,18,113,2017-01-01,0.0,Approved,Solex,Standard,medium,medium,575.27,431.45
17839,57,642,2017-01-01,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14
17907,63,1852,2017-01-01,1.0,Cancelled,Solex,Standard,medium,medium,1483.2,99.59
18436,0,2011,2017-01-01,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14
19131,0,1707,2017-01-01,0.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14
19158,32,671,2017-01-01,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37
19378,61,3321,2017-01-01,0.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94
19543,74,2804,2017-01-01,0.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91
338,32,1881,2017-01-02,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37
514,57,1679,2017-01-02,1.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14
991,89,2957,2017-01-02,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74
1920,51,1399,2017-01-02,0.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4
1998,19,214,2017-01-02,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21
2592,30,2046,2017-01-02,1.0,Approved,Solex,Standard,high,medium,748.17,448.9
3256,6,1239,2017-01-02,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73
4246,28,1844,2017-01-02,1.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36
4276,90,2251,2017-01-02,0.0,Approved,Solex,Standard,low,medium,945.04,507.58
4375,7,232,2017-01-02,0.0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43
4461,26,2652,2017-01-02,1.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63
4466,18,1175,2017-01-02,1.0,Approved,Solex,Standard,medium,medium,575.27,431.45
5168,36,580,2017-01-02,1.0,Approved,Solex,Standard,low,medium,945.04,507.58
5251,63,665,2017-01-02,0.0,Approved,Solex,Standard,medium,medium,1483.2,99.59
5349,2,711,2017-01-02,1.0,Approved,Solex,Standard,medium,medium,71.49,53.62
5622,11,2153,2017-01-02,0.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96
5685,94,1828,2017-01-02,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66
7129,38,999,2017-01-02,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
7456,24,2446,2017-01-02,1.0,Approved,Solex,Road,medium,large,1777.8,820.78
8209,52,340,2017-01-02,0.0,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51
8339,83,3381,2017-01-02,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03
8508,90,1697,2017-01-02,1.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41
9037,49,892,2017-01-02,0.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13
9061,94,2796,2017-01-02,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66
9552,23,281,2017-01-02,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1
10000,1,97,2017-01-02,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82
10531,35,1721,2017-01-02,1.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82
11281,44,2873,2017-01-02,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76
11481,89,432,2017-01-02,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74
13322,66,1968,2017-01-02,1.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33
14097,3,2649,2017-01-02,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
14137,3,1285,2017-01-02,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
14140,54,555,2017-01-02,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44
14469,52,2751,2017-01-02,1.0,Approved,Solex,Road,medium,large,1777.8,820.78
14489,3,1266,2017-01-02,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
14675,72,2202,2017-01-02,0.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3
15271,15,261,2017-01-02,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9
16623,93,786,2017-01-02,0.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09
16878,86,1215,2017-01-02,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07
17240,54,444,2017-01-02,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44
17258,49,512,2017-01-02,0.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13
19160,3,2292,2017-01-02,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
19196,12,2468,2017-01-02,1.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48
19472,100,1742,2017-01-02,1.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29
19977,44,1102,2017-01-02,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76
71,54,419,2017-01-03,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44
125,22,3382,2017-01-03,1.0,Approved,Solex,Standard,medium,medium,575.27,431.45
598,15,1665,2017-01-03,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9
825,30,513,2017-01-03,1.0,Approved,Solex,Standard,high,medium,748.17,448.9
839,54,1779,2017-01-03,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44
864,95,565,2017-01-03,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43
998,11,1041,2017-01-03,0.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96
1153,79,1114,2017-01-03,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01
1155,16,127,2017-01-03,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11
1449,1,173,2017-01-03,1.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82
2818,20,3414,2017-01-03,1.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47
3589,85,2586,2017-01-03,1.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36
3596,76,1710,2017-01-03,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77
4083,9,456,2017-01-03,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4
4522,60,2690,2017-01-03,0.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85
4859,11,608,2017-01-03,0.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47
5738,64,3483,2017-01-03,1.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85
6032,22,1777,2017-01-03,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
6375,45,867,2017-01-03,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99
6406,4,1056,2017-01-03,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48
6626,75,3090,2017-01-03,0.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95
6800,0,1427,2017-01-03,0.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3
7213,33,307,2017-01-03,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18
8147,90,2481,2017-01-03,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41
8419,20,1192,2017-01-03,1.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47
8469,43,2683,2017-01-03,0.0,Approved,Solex,Standard,medium,medium,1151.96,649.49
8877,19,495,2017-01-03,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21
9132,15,2150,2017-01-03,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9
9747,94,2825,2017-01-03,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66
10739,5,720,2017-01-03,1.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71
11411,0,539,2017-01-03,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21
11437,21,3435,2017-01-03,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74
11812,38,2862,2017-01-03,0.0,Approved,Solex,Standard,medium,medium,1577.53,826.51
12236,15,2391,2017-01-03,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9
12408,30,3237,2017-01-03,0.0,Approved,Solex,Standard,high,medium,748.17,448.9
12427,33,2983,2017-01-03,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18
12639,0,2266,2017-01-03,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99
12736,9,1936,2017-01-03,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4
13310,94,2824,2017-01-03,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66
13865,53,2217,2017-01-03,1.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58
14280,83,3205,2017-01-03,1.0,Approved,Solex,Touring,medium,large,2083.94,675.03
14320,66,139,2017-01-03,1.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33
15096,32,894,2017-01-03,0.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4
15185,58,1534,2017-01-03,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4
15502,13,239,2017-01-03,1.0,Approved,Solex,Standard,medium,medium,1163.89,589.27
15602,0,2027,2017-01-03,0.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3
16184,81,2861,2017-01-03,1.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94
16243,89,2653,2017-01-03,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74
16852,5,2338,2017-01-03,1.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71
17469,0,5034,2017-01-03,0.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4000244
17817,71,207,2017-01-03,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75
17983,10,1793,2017-01-03,1.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25
18053,53,2087,2017-01-03,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58
18691,1,919,2017-01-03,1.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82
19723,60,1841,2017-01-03,1.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85
305,77,2819,2017-01-04,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1
390,79,3015,2017-01-04,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01
722,27,633,2017-01-04,0.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4
896,53,43,2017-01-04,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58
1373,72,566,2017-01-04,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4
1586,18,133,2017-01-04,1.0,Approved,Solex,Standard,medium,medium,575.27,431.45
2523,82,3195,2017-01-04,1.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18
2605,58,1473,2017-01-04,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4
2654,38,1833,2017-01-04,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
3197,96,113,2017-01-04,0.0,Cancelled,WeareA2B,Road,low,small,1172.78,1043.77
4093,39,579,2017-01-04,1.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48
4113,3,875,2017-01-04,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
4250,66,590,2017-01-04,0.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33
4394,32,113,2017-01-04,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37
4504,1,1091,2017-01-04,1.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82
5385,0,1796,2017-01-04,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07
5655,0,1892,2017-01-04,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21
6286,74,2146,2017-01-04,1.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91
6989,80,1822,2017-01-04,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84
7168,38,330,2017-01-04,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
7464,41,2131,2017-01-04,0.0,Approved,Solex,Road,medium,medium,416.98,312.74
8677,6,911,2017-01-04,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73
9304,95,258,2017-01-04,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84
9531,51,380,2017-01-04,0.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4
9835,86,1879,2017-01-04,0.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72
9852,15,879,2017-01-04,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9
10125,68,2497,2017-01-04,1.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71
10446,3,1123,2017-01-04,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
10466,85,2520,2017-01-04,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36
10676,53,29,2017-01-04,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58
10706,69,2432,2017-01-04,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68
10774,37,651,2017-01-04,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82
10792,89,8,2017-01-04,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74
11804,48,201,2017-01-04,1.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52
12653,74,2057,2017-01-04,1.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91
12781,98,1429,2017-01-04,1.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03
13038,12,1823,2017-01-04,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48
14224,69,1351,2017-01-04,1.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1
14694,80,1594,2017-01-04,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84
14875,59,2548,2017-01-04,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58
14995,82,2712,2017-01-04,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
15646,33,2837,2017-01-04,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18
15826,11,3426,2017-01-04,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96
16295,59,2335,2017-01-04,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58
16618,73,3249,2017-01-04,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18
16641,58,3176,2017-01-04,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4
16660,63,307,2017-01-04,0.0,Approved,Solex,Standard,medium,medium,1483.2,99.59
18066,1,489,2017-01-04,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82
18192,59,513,2017-01-04,1.0,Approved,Solex,Standard,medium,large,1061.56,733.58
18215,28,424,2017-01-04,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13
18284,49,1154,2017-01-04,0.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13
18484,17,1848,2017-01-04,0.0,Approved,Solex,Standard,high,medium,1024.66,614.8
18775,3,2613,2017-01-04,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
19522,4,192,2017-01-04,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48
19540,34,155,2017-01-04,0.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72
19757,15,924,2017-01-04,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9
12,61,2783,2017-01-05,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93
702,54,2368,2017-01-05,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44
706,54,1329,2017-01-05,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44
1175,83,641,2017-01-05,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03
1386,76,564,2017-01-05,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77
1608,88,1884,2017-01-05,0.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1
2141,79,516,2017-01-05,1.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01
2506,35,1126,2017-01-05,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4
2671,53,3365,2017-01-05,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58
2801,81,3417,2017-01-05,1.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94
2812,2,1824,2017-01-05,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62
2825,93,3060,2017-01-05,1.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09
3259,88,3375,2017-01-05,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11
3272,5,944,2017-01-05,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71
3605,62,256,2017-01-05,0.0,Approved,Solex,Standard,high,medium,1024.66,614.8
3710,51,2069,2017-01-05,0.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4
3870,85,1368,2017-01-05,1.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36
4032,64,1584,2017-01-05,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55
4215,77,2076,2017-01-05,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1
4472,3,2992,2017-01-05,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
4506,38,2133,2017-01-05,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
5606,53,2052,2017-01-05,1.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58
6238,92,1431,2017-01-05,1.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36
6571,25,1049,2017-01-05,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
6621,37,80,2017-01-05,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82
6655,52,1776,2017-01-05,0.0,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51
7560,44,1482,2017-01-05,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76
7575,40,1863,2017-01-05,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76
7710,1,3181,2017-01-05,1.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95
7783,19,3430,2017-01-05,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21
8109,8,2388,2017-01-05,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13
8578,38,909,2017-01-05,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
9011,86,1533,2017-01-05,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07
9013,44,3169,2017-01-05,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76
9785,72,1,2017-01-05,0.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3
11082,4,1452,2017-01-05,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48
11260,60,1889,2017-01-05,1.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85
11268,68,2759,2017-01-05,0.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71
12143,13,2052,2017-01-05,1.0,Approved,Solex,Standard,medium,medium,1163.89,589.27
12528,8,1143,2017-01-05,0.0,Approved,Solex,Road,medium,small,1703.52,1516.13
13264,95,2353,2017-01-05,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43
13363,13,395,2017-01-05,0.0,Approved,Solex,Standard,medium,medium,1577.53,826.51
13756,67,607,2017-01-05,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84
14214,8,203,2017-01-05,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13
14327,79,341,2017-01-05,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01
14455,15,3213,2017-01-05,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9
15044,18,2912,2017-01-05,0.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18
15046,0,1151,2017-01-05,0.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14
15517,6,1539,2017-01-05,0.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73
16135,87,2033,2017-01-05,1.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71
16215,62,2869,2017-01-05,1.0,Approved,Solex,Standard,medium,medium,478.16,298.72
16432,12,2647,2017-01-05,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48
16808,42,606,2017-01-05,1.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9
16912,16,3060,2017-01-05,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11
16957,34,2836,2017-01-05,1.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72
17427,0,966,2017-01-05,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72
17557,79,2879,2017-01-05,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01
18021,41,1424,2017-01-05,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9
18170,62,2386,2017-01-05,1.0,Approved,Solex,Standard,medium,medium,478.16,298.72
18562,98,1566,2017-01-05,1.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03
18782,50,1537,2017-01-05,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92
19528,32,3004,2017-01-05,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37
19828,62,1293,2017-01-05,1.0,Approved,Solex,Standard,medium,medium,478.16,298.72
1897,95,1845,2017-01-06,1.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43
1899,4,275,2017-01-06,1.0,Approved,Solex,Standard,medium,medium,1483.2,99.59
2236,80,2266,2017-01-06,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55
2293,22,159,2017-01-06,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
2471,29,2786,2017-01-06,0.0,Approved,Norco Bicycles,Road,medium,medium,543.39,407.54
2497,83,2883,2017-01-06,1.0,Approved,Solex,Touring,medium,large,2083.94,675.03
2943,0,820,2017-01-06,0.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93
3463,86,629,2017-01-06,0.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72
3528,21,3097,2017-01-06,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74
3699,73,2169,2017-01-06,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18
4235,32,2593,2017-01-06,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37
4243,69,3002,2017-01-06,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68
5036,69,3242,2017-01-06,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68
5183,84,847,2017-01-06,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68
5451,10,3158,2017-01-06,1.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25
5683,66,538,2017-01-06,1.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33
